sentence,quarter,topic,topic_label
"I think we went under, you know, the 3 million for the first time in a while",2023 Q3,0,Growth & Spending
"And, you know, we look at account growth as -- or cards acquired from an overall revenue perspective",2023 Q3,-1,General
"But we still see tremendous opportunities out there, which is why we sort of signaled here -- more than signaled",2023 Q3,0,Growth & Spending
We said were going to raise our marketing expense for next year as well,2023 Q3,-1,General
"So, no, were not seeing anything at all that gives us pause, and we will continue to acquire those cards as long as those opportunities are out there",2023 Q3,0,Growth & Spending
"So, you will see a higher level of marketing spending in the next quarter",2023 Q3,0,Growth & Spending
Operator Thank you,2023 Q3,2,Customer & Cards
The next question is coming from Bill Carcache of Wolfe Research,2023 Q3,1,Executive & Financial
Please go ahead,2023 Q3,2,Customer & Cards
Bill Carcache -- Wolfe Research -- Analyst Thank you,2023 Q3,1,Executive & Financial
"Good morning, Steve",2023 Q3,3,Outlook & Guidance
"And, Christophe, welcome to the call",2023 Q3,2,Customer & Cards
Steve Squeri -- Chairman and Chief Executive Officer Good morning,2023 Q3,1,Executive & Financial
Christophe Le Caillec -- Chief Financial Officer Good morning,2023 Q3,2,Customer & Cards
Bill Carcache -- Wolfe Research -- Analyst Can you share -- any initial thoughts on the open banking rule that the CFPB recently proposed? Theres a view that the pen banking essentially forces banks to hand over the keys to their customer relationships,2023 Q3,1,Executive & Financial
I was just hoping you could speak to any opportunities that may present for Amex,2023 Q3,0,Growth & Spending
"And following up on the capital commentary, Christophe, theres a view that you could reduce your at-risk if you treated your rewards expense as a contra revenue",2023 Q3,-1,General
Any thoughts on that would be great,2023 Q3,-1,General
Thank you,2023 Q3,2,Customer & Cards
Steve Squeri -- Chairman and Chief Executive Officer Yeah,2023 Q3,1,Executive & Financial
"Look, as far as FedNow, I think lets just go to the U.K., U.K.s had open banking for 10 years or so, and its really had no impact on our business either positively or negatively",2023 Q3,-1,General
"So, I dont really see this as either a big threat or big opportunity",2023 Q3,-1,General
"And I think wher Id like to take you back, Bill, to is what product were actually offering",2023 Q3,-1,General
"You know, were offering a membership model product basically which has lots of different components other than just commodity paying",2023 Q3,0,Growth & Spending
"And, you know, our product has so many more benefits from a security perspective, a fraud perspective, a dispute perspective than an open banking product would have",2023 Q3,-1,General
"And so, I really dont see this as either an opportunity or as a threat to our business either in the short term or in the long term",2023 Q3,-1,General
I will turn the other question over to Christophe,2023 Q3,2,Customer & Cards
"Christophe Le Caillec -- Chief Financial Officer So, on Basel, Bill, you know, there are various things that were discussing with regulators",2023 Q3,2,Customer & Cards
I dont think it would be useful to go through the list here this morning on the call,2023 Q3,-1,General
"But you raise either an important element here, which is that nothing is really changing in our business, right? Were still doing the exact same thing",2023 Q3,-1,General
"And so, we need to figure out with regulators what the right level of capital here and not be dependent upon accounting treatment or anything like that",2023 Q3,0,Growth & Spending
"So, you know, too early to discuss this in detail",2023 Q3,0,Growth & Spending
"When we have more clarity, well provide you with a ton of Basel III details",2023 Q3,0,Growth & Spending
Operator Thank you,2023 Q3,2,Customer & Cards
The next question is coming from Dominick Gabriele of Oppenheimer,2023 Q3,1,Executive & Financial
Please go ahead,2023 Q3,2,Customer & Cards
Dominick Gabriele -- Oppenheimer and Company -- Analyst Hi,2023 Q3,1,Executive & Financial
Good morning,2023 Q3,3,Outlook & Guidance
Pleasure to meet everybody,2023 Q3,-1,General
"And, Kerri, thanks so much for all the help",2023 Q3,2,Customer & Cards
"I was just curious on your cardmember rewards as a percentage of billed business, its stepped down quite nicely quarter over quarter and year over year",2023 Q3,0,Growth & Spending
I was just curious if youre seeing anything in particular on the utilization of rewards recently or any commentary around around that? Thank you so much,2023 Q3,-1,General
Christophe Le Caillec -- Chief Financial Officer Yeah,2023 Q3,2,Customer & Cards
"So, yes, and, you know, our VCE I called out was lower this quarter at 40",2023 Q3,0,Growth & Spending
"So, as you know, variable cardmember engagement -- and rewards is the biggest number there",2023 Q3,0,Growth & Spending
Its a very large expense base,2023 Q3,0,Growth & Spending
"So, were constantly looking at -- when we do product refreshes, when we launch products, we look at -- were looking at ways to make sure that these value proposition works best, and we price for this",2023 Q3,0,Growth & Spending
And theres always changes,2023 Q3,0,Growth & Spending
Theres always changes as well in terms of how the cardmembers choose to redeem their points from one quarter to another,2023 Q3,0,Growth & Spending
"As you know, we also adding constantly new redemption partners that changed the mix in terms of their weighted average cost per points",2023 Q3,-1,General
"So, theres, at any point in time, a lot of variables that will impact that ratio",2023 Q3,-1,General
"We are very focused on making sure that we have the right ratio versus revenue, and we also have the right value proposition that would be compelling in the marketplace",2023 Q3,-1,General
"So, its a little bit lower this quarter",2023 Q3,0,Growth & Spending
"You know, I think we said 42 for the full year because we are seeing that its a bit better as well from a full year standpoint",2023 Q3,-1,General
Its still going to be an area of investments for us,2023 Q3,0,Growth & Spending
It drives a lot of growth as well,2023 Q3,0,Growth & Spending
Thats one of the key reason why cardmembers sign up for for the cards and engage with it,2023 Q3,0,Growth & Spending
"And, you know, were going to keep working on those on those value propositions and make sure that we have the right balance here",2023 Q3,-1,General
"Steve Squeri -- Chairman and Chief Executive Officer The only other point Ill add is that within our value propositions, because of our really premium card base, lots and lots of partners want to work with us and include benefits within our value propositions to reach our cardmembers",2023 Q3,1,Executive & Financial
"And so, you know, when you look at the overall value proposition, its just not rewards-based, it is partner-based",2023 Q3,-1,General
And there are different mechanisms from a funding perspective of how that all works out,2023 Q3,0,Growth & Spending
"So, thats part and parcel of our value proposition as well",2023 Q3,-1,General
Operator Thank you,2023 Q3,2,Customer & Cards
The next question is coming from Arren Cyganovich of Citi,2023 Q3,-1,General
Please go ahead,2023 Q3,2,Customer & Cards
Arren Cyganovich -- Citi -- Analyst Thanks,2023 Q3,-1,General
"You continue to outperform on credit at least, you know, very much relative to your peers in below pre-pandemic levels",2023 Q3,-1,General
What are your thoughts on net charge-offs heading into 2024? And maybe you could touch a little bit on how the seasoning curves are happening for your recent vintages,2023 Q3,0,Growth & Spending
"Christophe Le Caillec -- Chief Financial Officer Yeah, yeah",2023 Q3,2,Customer & Cards
"So, you know, were not going to give you a lot of details about 2024 on this call",2023 Q3,0,Growth & Spending
We plan to do that in -- at the beginning of next year when we speak about 2024 guidance,2023 Q3,0,Growth & Spending
"But what I can tell you is that the starting point for us of our credit performance and all our credit decisions is the quality of the products and the fact that it attracts, you know, premium cardmembers",2023 Q3,-1,General
"Thats the starting point, right? And we have a very talented risk organization",2023 Q3,-1,General
"We have a very disciplined execution of our risk decision, but it starts with our -- with the quality of the product",2023 Q3,-1,General
And thats the key differentiator vis-a-vis our peers,2023 Q3,-1,General
And thats what we focused on,2023 Q3,-1,General
"And as you know, weve said this many times on this call, if anything, we are focused even more on the premiumness of their -- the portfolio",2023 Q3,0,Growth & Spending
"We are -- you know, the new cardmembers -- because youre talking about vintages, the new cardmembers were bringing in, 70 of those consumer cardmembers are joining the franchise on a fee-paying product",2023 Q3,0,Growth & Spending
Thats a big statement to join the franchise,2023 Q3,-1,General
"And so, you know, thats what we use to start projecting out",2023 Q3,-1,General
"You know, theres still -- as Ive said before, theres still a little bit of, you know, COVID noise and normalization going on, but were very pleased with the credit performance that were saying",2023 Q3,-1,General
"And as you pointed out, you know, the gap versus competitors, if anything, is increasing further",2023 Q3,0,Growth & Spending
Operator Thank you,2023 Q3,2,Customer & Cards
The next question is coming from Craig Maurer of FT Partners,2023 Q3,-1,General
Please go ahead,2023 Q3,2,Customer & Cards
"Craig Maurer -- Financial Technology Partners -- Analyst Yeah, good morning",2023 Q3,-1,General
Thanks for taking the questions,2023 Q3,2,Customer & Cards
"And congrats, Kerri and Kartik, on your new roles",2023 Q3,2,Customer & Cards
"The net interest yield on cardmember loans saw a nice improvement in the quarter, up 50 basis points quarter on quarter, and youre now above Q4 19",2023 Q3,0,Growth & Spending
"And while I understand what rates youre doing, the increase was pretty substantial this quarter",2023 Q3,-1,General
"So, I was -- versus prior quarter",2023 Q3,0,Growth & Spending
"So, I was wondering how we should expect that to trend",2023 Q3,0,Growth & Spending
"And secondly, given your visibility due to the accounting treatment of card fees, how should we expect that to trend over the coming quarters considering its decelerated for several quarters in a row? Thank you",2023 Q3,0,Growth & Spending
"Christophe Le Caillec -- Chief Financial Officer Yeah, yeah, so under yield, there -- the key thing here -- there are many moving parts, right? They are, you know, as you know, in terms of the funding, in terms of their pricing, in terms of their various vintages",2023 Q3,2,Customer & Cards
But their key biggest element that is driving that small increase in the yield is the revolve rate,2023 Q3,0,Growth & Spending
"So, the share -- the revolving balances, the interest-bearing balances, and our total loan balances is increasing a little bit",2023 Q3,0,Growth & Spending
"And thats an outcome of our tenured cardmembers rebuilding their balances, which is something weve called out for several quarters now",2023 Q3,-1,General
"And I just want to point out again that either most of that growth is coming from -- most of that growth, i.e., 70 is coming from tenured cardmembers that we know well and we can underwrite well",2023 Q3,-1,General
"So, thats the key driver behind the yield improvement",2023 Q3,-1,General
"When it comes to card fees, youre right, we have good visibility because we amortize those fees over 12 months",2023 Q3,0,Growth & Spending
"So, we see that trend",2023 Q3,0,Growth & Spending
"So, you should expect that trend to continue a little bit, i.e., the growth rate to moderate",2023 Q3,0,Growth & Spending
"As I said, a key driver to this is going to be the cycle of product refreshes",2023 Q3,0,Growth & Spending
"And its also going to be a function of us investing more marketing dollars, bringing on more fee-paying cardmembers",2023 Q3,0,Growth & Spending
And that dynamic is just going to play out,2023 Q3,-1,General
"So, you should expect, you know, in the next few quarters a bit of a moderation there, but I need to call out that its a moderation from a very high level",2023 Q3,-1,General
"And as we used to say on this call, even during the pandemic, that specific category was still growing",2023 Q3,0,Growth & Spending
"So, its still going to grow strongly in double digits, right? Steve Squeri -- Chairman and Chief Executive Officer As we go back to the pandemic, we were growing at 10 to 11",2023 Q3,0,Growth & Spending
"And so, when you look at the outsized, lets call it the outsized growth rates that we had in Q3 and Q4 of 2022, you did -- you had not acquired cards really in 2020",2023 Q3,0,Growth & Spending
"And so, when you got to the amortization in the third and fourth quarter of 2021, it was lower",2023 Q3,-1,General
"So, the growth rate was a little bit higher as we got in there",2023 Q3,0,Growth & Spending
"But, you know, look were pretty happy with 19 growth rate over numbers that continue to get bigger",2023 Q3,0,Growth & Spending
Operator Thank you,2023 Q3,2,Customer & Cards
Our final question will come from Mihir Bhatia of Bank of America,2023 Q3,1,Executive & Financial
Please go ahead,2023 Q3,2,Customer & Cards
Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst Hi,2023 Q3,1,Executive & Financial
Thanks for taking my question and squeezing me in here,2023 Q3,-1,General
"And congratulations to Christophe, Kerri, and Kartik",2023 Q3,2,Customer & Cards
"I wanted to maybe switch from talking about the card products that, you know, the whole call has been talking about a little bit",2023 Q3,0,Growth & Spending
And maybe just talk a little bit about the noncard products,2023 Q3,0,Growth & Spending
I think other loans and receivables is now up over 10 billion in total now,2023 Q3,0,Growth & Spending
"Obviously, being an area where youve spent a lot of time investing in, maybe just talk a little bit about that, both on the consumer and commercial side",2023 Q3,-1,General
"Where are you seeing some of the strongest growth? How do you expect that to trend? How much is that contributing to interest yields, etc.? Thanks",2023 Q3,0,Growth & Spending
Steve Squeri -- Chairman and Chief Executive Officer Yeah,2023 Q3,1,Executive & Financial
"So, let me sort of just hit from a strategic perspective of what were trying to do",2023 Q3,-1,General
"And, you know, even at 10 billion, its still a relatively small piece",2023 Q3,0,Growth & Spending
One of the things we try to do from a small business perspective is to make sure that we can provide a variety of working capital needs to our small business customers,2023 Q3,0,Growth & Spending
"And in that case, it can be noncard loans for working capital, it can be shorter term loans for, you know, up to two years or so forth",2023 Q3,0,Growth & Spending
"And I think, you know, part of that was the overall Kabbage acquisition that we did to be able to do that",2023 Q3,-1,General
"Because what we wanted to do, and it goes along with what we did with sort of our checking account as well, is we wanted to make sure that we could provide for small businesses a host of products and services from having a checking transaction account, having a lending product, having a charge product, and then having working capital loans",2023 Q3,-1,General
"And so, I think that really that really fits in",2023 Q3,0,Growth & Spending
"But, you know, thats not the driver of growth for us in that segment",2023 Q3,0,Growth & Spending
"From a consumer perspective, what weve continued to try to do is to really grow our organic footprint with our consumers",2023 Q3,0,Growth & Spending
"And, you know, you can go back in history",2023 Q3,-1,General
"It started as a charge card, and then we put lending, and then we put pay over time, and, you know, plant it within the product and came up with a savings account and a debit product and also a small component of personal loans",2023 Q3,0,Growth & Spending
"And so, you know, weve been judicious and careful about how weve gone about that",2023 Q3,0,Growth & Spending
But I think its an important add to make sure that our customers are not going to our competitors when they need products and services like that,2023 Q3,0,Growth & Spending
"So, thats the sort of strategic sort of backdrop on why we have that",2023 Q3,-1,General
Kerri Bernstein -- Head of Investor Relations OK,2023 Q3,1,Executive & Financial
"And with that, we will bring the call to an end",2023 Q3,0,Growth & Spending
Thank you for joining todays call and for your continued interest in American Express,2023 Q3,2,Customer & Cards
The IR team will be available for any follow-up questions,2023 Q3,-1,General
"Operator, back to you",2023 Q3,-1,General
"Operator Ladies and gentlemen, the webcast replay will be available on our investor relations website at ir.americanexpress.com shortly after the call",2023 Q3,-1,General
"You can also access a digital replay of the call at 877-660-6853 or 201-612-7415, access code 13740799, after 1 p.m",2023 Q3,-1,General
Eastern Time on October 20th through October 27th,2023 Q3,-1,General
That will conclude our conference call for today,2023 Q3,0,Growth & Spending
"Operator signoff Duration 0 minutes Kerri Bernstein -- Head of Investor Relations Steve Squeri -- Chairman and Chief Executive Officer Christophe Le Caillec -- Chief Financial Officer Sanjay Sakhrani -- Keefe, Bruyette and Woods -- Analyst Ryan Nash -- Goldman Sachs -- Analyst Bob Napoli -- William Blair and Company -- Analyst Rick Shane -- JPMorgan Chase and Company -- Analyst Don Fandetti -- Wells Fargo Securities -- Analyst Jeff Adelson -- Morgan Stanley -- Analyst Bill Carcache -- Wolfe Research -- Analyst Dominick Gabriele -- Oppenheimer and Company -- Analyst Arren Cyganovich -- Citi -- Analyst Craig Maurer -- Financial Technology Partners -- Analyst Mihir Bhatia -- Bank of America Merrill Lynch -- Analyst More AXP analysis All earnings call transcripts This article is a transcript of this conference call produced for The Motley Fool",2023 Q3,1,Executive & Financial
"While we strive for our Foolish Best, there may be errors, omissions, or inaccuracies in this transcript",2023 Q3,4,Other
"As with all our articles, The Motley Fool does not assume any responsibility for your use of this content, and we strongly encourage you to do your own research, including listening to the call yourself and reading the companys SEC filings",2023 Q3,1,Executive & Financial
"Please see our Terms and Conditions for additional details, including our Obligatory Capitalized Disclaimers of Liability",2023 Q3,-1,General
"American Express is an advertising partner of The Ascent, a Motley Fool company",2023 Q3,-1,General
The Motley Fool has no position in any of the stocks mentioned,2023 Q3,1,Executive & Financial
The Motley Fool has a disclosure policy,2023 Q3,1,Executive & Financial
Average returns of all recommendations since inception,2023 Q3,-1,General
Cost basis and return based on previous market day close,2023 Q3,-1,General
Invest better with The Motley Fool,2023 Q3,1,Executive & Financial
"Get stock recommendations, portfolio guidance, and more from The Motley Fools premium services",2023 Q3,1,Executive & Financial
"Making the world smarter, happier, and richer",2023 Q3,-1,General
 1995 - 2026 The Motley Fool,2023 Q3,1,Executive & Financial
All rights reserved,2023 Q3,0,Growth & Spending
Market data powered by Xignite and Polygon.io,2023 Q3,2,Customer & Cards
"About The Motley Fool Our Services Around the Globe Free Tools Affiliates  Friends AXP earnings call for the period ending September 30, 2023.",2023 Q3,2,Customer & Cards
"Operator Ladies and gentlemen, thank you for standing by",2023 Q4,2,Customer & Cards
Welcome to the American Express Q4 2023 earnings call,2023 Q4,-1,General
"At this time, all participants are on a listen-only mode",2023 Q4,0,Growth & Spending
"Later, we will conduct a question-and-answer session",2023 Q4,2,Customer & Cards
"Operator instructions As a reminder, todays call is being recorded",2023 Q4,-1,General
"I will now turn the conference over to our host, head of investor relations, Mr",2023 Q4,-1,General
Kartik Ramachandran,2023 Q4,1,Executive & Financial
Thank you,2023 Q4,2,Customer & Cards
Please go ahead,2023 Q4,2,Customer & Cards
"Kartik Ramachandran -- Head of Investor Relations Thank you, Donna, and thank you all for joining todays call",2023 Q4,1,Executive & Financial
"As a reminder, before we begin, todays discussion contains forward-looking statements about the companys future business and financial performance",2023 Q4,0,Growth & Spending
These are based on managements current expectations and are subject to risks and uncertainties,2023 Q4,-1,General
Factors that could cause actual results to differ materially from these statements are included in todays presentation slides and in our reports on file with the SEC,2023 Q4,4,Other
The discussion today also contains non-GAAP financial measures,2023 Q4,0,Growth & Spending
"The comparable GAAP financial measures are included in this quarters earnings materials, as well as the earnings materials for the prior periods we discussed",2023 Q4,0,Growth & Spending
All of these are posted on our website at ir.americanexpress.com,2023 Q4,-1,General
"We will begin today with Steve Squeri, chairman and CEO, who will start with some remarks about the companys progress and results",2023 Q4,-1,General
"And then, Christophe Le Caillec, chief financial officer, will provide a more detailed review of our financial performance",2023 Q4,2,Customer & Cards
"After that, well move to a QA session on the results with both Steve and Christophe",2023 Q4,2,Customer & Cards
"With that, let me turn it over to Steve",2023 Q4,3,Outlook & Guidance
"Steve Squeri -- Chairman and Chief Executive Officer Good morning, and thanks for joining us",2023 Q4,1,Executive & Financial
2023 was another strong year for American Express,2023 Q4,-1,General
"We delivered record revenues of 61 billion for the year of 15 on an FX-adjusted basis, and we had record net income of over 8 billion with earnings per share of 11.21",2023 Q4,0,Growth & Spending
"In the fourth quarter, we continue to drive strong customer engagement and demand for our premium products",2023 Q4,0,Growth & Spending
"We had solid growth in billings, strong new account acquisitions, and continued strength in credit quality, which remains the best in the industry",2023 Q4,0,Growth & Spending
"As a result, we achieved fourth quarter revenues of nearly 16 billion, which was another quarterly record",2023 Q4,0,Growth & Spending
And EPS was 2.62,2023 Q4,0,Growth & Spending
"Christophe will provide detail on our quarterly results, but I would like to take a step back to talk about what weve accomplished over the last two years until you why Im feeling good about where we are today and why Im confident in our future",2023 Q4,0,Growth & Spending
"Coming out of the COVID pandemic in January of 2022, we saw an opportunity to accelerate our growth",2023 Q4,0,Growth & Spending
And we set an aspiration to sustain growth over the longer term at levels that were higher than what we were achieving prior to the pandemic,2023 Q4,0,Growth & Spending
"At that time, we laid out a growth plan with the objective of positioning the company to be able to deliver on our aspiration of driving annual revenue growth of 10-plus and mid-teens EPS growth over the long term",2023 Q4,0,Growth & Spending
"In executing the plan, we focused on listening to our customers and understanding their needs",2023 Q4,0,Growth & Spending
"And we invested in innovating our value propositions, as well as uplifting our marketing and technology capabilities and backing our colleagues to meet those needs",2023 Q4,-1,General
"Looking back over the two years since we announced the growth plan, Im pleased to say that we achieved what we set out to do",2023 Q4,0,Growth & Spending
"And in fact, were ahead of where we thought wed be on our journey",2023 Q4,-1,General
Thanks to the millions of premium customers we have around the world and the American Express colleagues who support them,2023 Q4,-1,General
"Today, we are a larger and stronger company",2023 Q4,-1,General
"Since 2021, weve delivered record annual revenues, increasing the scale of our business by over 40 in just two years, from 42 billion to 61 billion in annual revenues -- in revenues",2023 Q4,0,Growth & Spending
Annual card spending over this period has increased 37 on an FX-adjusted basis to a record 1.5 trillion,2023 Q4,0,Growth & Spending
Weve added about 25 million new proprietary card accounts over the last two years,2023 Q4,0,Growth & Spending
And over 70 of these new accounts are coming into the franchise on fee-based products,2023 Q4,0,Growth & Spending
"With the growth in new accounts weve seen over the past few years, we now have a total of over 140 million cards running on our global network",2023 Q4,0,Growth & Spending
"Our focus on continuously innovating our value propositions to meet the needs of our customers is driving increased brand relevance across generations, including millennial and Gen Z consumers",2023 Q4,0,Growth & Spending
"These customers represent over 60 of the new consumer accounts we acquired globally in 2023, and 75 of new consumer platinum and gold accounts acquired in the U.S",2023 Q4,0,Growth & Spending
came from this cohort,2023 Q4,0,Growth & Spending
"At the same time, retention continues to be very high, and our credit metrics remain strong and best in class",2023 Q4,0,Growth & Spending
These strong results reflect the success of our strategic investments weve made in our business along with the tremendous earnings power of our business model,2023 Q4,-1,General
"Looking ahead, let me tell you why I feel really good about our future prospects",2023 Q4,-1,General
"We have a business model that is delivering premium performance, and we have strong momentum, which is driven by four key features of our model that differentiate us from the competition and are difficult to replicate",2023 Q4,0,Growth & Spending
"First, our economic construct has a set of diversified revenue sources that include card fees, spending, and best-in-class lending, with our subscription like card fees being a core and fast-growing component of our revenue mix",2023 Q4,-1,General
We have a singular focus on premium customers and superior innovative value propositions,2023 Q4,0,Growth & Spending
"Our premium customers are high-spending, loyal, and drive our strong credit performance",2023 Q4,-1,General
We have a large and growing partnership ecosystem that expands our brand value to cardmembers and merchant partners around the world,2023 Q4,0,Growth & Spending
And we have a global brand and a servicing ethos that truly sets us apart,2023 Q4,0,Growth & Spending
Our business model provides us with strong competitive advantages,2023 Q4,0,Growth & Spending
"And the way weve been able to leverage the models unique elements and execute our strategy has strengthened those advantages, giving us the runway for continuing our momentum across generations, geographies, and both our consumer and small business customers",2023 Q4,0,Growth & Spending
"The power of our business model, combined with the global scale of our premium customer base, the dedication and focus of our talented colleagues, and the attractiveness of the many growth opportunities we see ahead are the key reasons why Im confident in our ability to continue on our growth plan",2023 Q4,0,Growth & Spending
"And its why, going forward, well remain focused on our long-term aspiration of delivering annual revenue growth of 10-plus and mid-teens EPS growth",2023 Q4,0,Growth & Spending
"We believe this aspiration is the right one, and we aim to achieve it every year",2023 Q4,0,Growth & Spending
"However, we manage the company for the long term, and we anticipate there will be a range of potential outcomes in any given year due to a variety of factors, such as external environment and actions we might take that we decide are best for the business",2023 Q4,-1,General
"Looking at this year, the continued momentum weve seen in the business as weve executed our strategy gives us confidence in our guidance for 2024, which is in line with our long-term aspiration",2023 Q4,0,Growth & Spending
"For the year, we expect to deliver annual revenue growth between 9 and 11 and full year EPS of 12.65 to 13.15",2023 Q4,0,Growth & Spending
"In addition, we plan to increase our quarterly on common shares outstanding to 0.70 a share, up from 0.60 beginning with the first quarter 2024 dividend declaration",2023 Q4,0,Growth & Spending
This represents more than a 60 increase in the dividend from when we introduced our growth plan in January of 2022,2023 Q4,0,Growth & Spending
"As always, we will continue to run our business for the long term, and well do that by listening to our customers and meeting their needs through innovative unique value propositions and exceptional service that reflects our brand built on trust and security, delivered and supported by a world-class colleague base",2023 Q4,0,Growth & Spending
"In keeping our focus on backing our customers and our colleagues, we are confident that we will continue to deliver strong growth on a sustainable basis over the long term",2023 Q4,0,Growth & Spending
"Thank you, and let me now turn it over to Christophe",2023 Q4,2,Customer & Cards
"Christophe Le Caillec -- Chief Financial Officer Thank you, Steve, and good morning, everyone",2023 Q4,2,Customer & Cards
"Its good to be here to talk about our 2023 results, which reflect another strong year of performance, and to lay out our expectations for 2024",2023 Q4,0,Growth & Spending
I will discuss both our quarterly and full year results this morning since its year in and since looking at our business on an annual basis is more in sync with how we run the company,2023 Q4,0,Growth & Spending
Starting with our summary financials on Slide 2,2023 Q4,-1,General
"Full year revenues reached an all-time high of 60.5 billion, up 15 on an FX-adjusted basis",2023 Q4,0,Growth & Spending
Our fourth quarter revenues were 15.8 billion and grew 11 year over year,2023 Q4,0,Growth & Spending
This revenue momentum drove reported full year net income of 8.4 billion and earnings per share of 11.21,2023 Q4,0,Growth & Spending
"For the quarter, we reported net income of 1.9 billion and earnings per share of 2.62",2023 Q4,0,Growth & Spending
Lets now go to a more detailed look at the drivers of these results beginning with billed business on Slide 3,2023 Q4,-1,General
We reached record levels of spending for both the full year and the fourth quarter in 2023,2023 Q4,-1,General
Total billed business grew 9 versus last year on an FX-adjusted basis,2023 Q4,0,Growth & Spending
"In the fourth quarter, billed business grew 6 as we continue to see more stable growth rates after lapping the prior-year impact of omicron back in the first quarter",2023 Q4,0,Growth & Spending
"This 6 growth rate does reflect a bit of softening versus last quarter, but I would point out that the number of transactions from our cardmembers continues to grow double digits year over year, a good indicator of the engagement of our customer base",2023 Q4,0,Growth & Spending
"Our growth was driven by 5 growth in goods and services spending and, although slower than last quarter, continued strong growth in travel and entertainment spending up 9 for the quarter",2023 Q4,-1,General
"Restaurant spending remains our largest TE category and reached 100 billion for the full year for the first time, while airline spending growth slowed in the quarter",2023 Q4,0,Growth & Spending
There are few other key points to take away as we then break down our spending trends across our businesses,2023 Q4,0,Growth & Spending
Starting with our largest segment on Slide 4,2023 Q4,0,Growth & Spending
U.S,2023 Q4,0,Growth & Spending
consumer grew billings at 7 this quarter,2023 Q4,0,Growth & Spending
We continue to see growth across all generations in age cohorts with millennials and Gen Z customers again driving our highest billed business growth within this segment,2023 Q4,0,Growth & Spending
Their spending was up 15 this quarter,2023 Q4,-1,General
"Looking at commercial services on Slide 5, overall growth came in at 1 this quarter",2023 Q4,0,Growth & Spending
"Consistent with last quarters growth rate, spending growth from our U.S",2023 Q4,0,Growth & Spending
"small and medium-sized enterprise customers remain modest, given unique dynamics seen by small businesses over the past few years",2023 Q4,0,Growth & Spending
"Specifically in 2022, we saw a large increase in organic spending as businesses restock their inventories following supply chain issues during the pandemic",2023 Q4,0,Growth & Spending
This caused a significant grow-over challenge for spending from this segment in the industry in 2023,2023 Q4,-1,General
"Importantly, we continue to see strong levels of demand for new accounts, high levels of retention, and strong credit performance on our small business products",2023 Q4,0,Growth & Spending
"Looking ahead, this positions us well for the future as spending growth rebounds",2023 Q4,-1,General
"And lastly, on Slide 6, you see our highest growth again this quarter in international card services",2023 Q4,0,Growth & Spending
We continue to see double-digit growth across all regions and customer types,2023 Q4,-1,General
Spending from international consumers and from international SME and large corporate customers each grew 13 in the fourth quarter,2023 Q4,-1,General
"Overall, while were seeing a softer spend environment, we are pleased with the continued strong engagement and loyalty of our cardmembers across the globe",2023 Q4,0,Growth & Spending
"As we think about 2024, we are assuming a spend environment similar to what weve seen in the past few quarters",2023 Q4,-1,General
"Now, moving on to loans and cardmember receivables on Slide 7",2023 Q4,-1,General
We saw year over year growth of 13,2023 Q4,0,Growth & Spending
"We expect this growth, which has been elevated versus pre-pandemic levels, to continue to moderate as we progress through the 2024, but to still grow modestly faster than billings",2023 Q4,-1,General
Turning next to credit and provision on Slide 8 through 10,2023 Q4,-1,General
"First and most importantly, we continue to see strong and best-in-class credit metrics",2023 Q4,0,Growth & Spending
"We attribute this performance to the high credit quality of our customer base, our robust risk management practices, and our disciplined growth strategy",2023 Q4,0,Growth & Spending
"As we had expected, our write-off and delinquency rates did continue to tick up this quarter as you see on Slide 8",2023 Q4,0,Growth & Spending
"Going forward, we expect to see this delinquency and write-off rates remain strong with modest increases in 2024",2023 Q4,0,Growth & Spending
"Turning now to the accounting of this credit performance on Slide 9, the modest increase in our cardmember loans and receivables delinquency rate, combined with a quarter-over-quarter growth in our loan balances, resulted in a 400 million reserve build",2023 Q4,0,Growth & Spending
"This reserve build, combined with net write-offs drove, 1.4 billion of provision expense in the fourth quarter",2023 Q4,0,Growth & Spending
"As you see on Slide 10, we ended the fourth quarter with 5.4 billion of reserves, representing 2.8 of our total loans and cardmember receivables and continuing to reflect the premium nature of our cardmember base",2023 Q4,0,Growth & Spending
"This reserve rate remains about 10 basis points, below the level we had pre-pandemic or Day 1 CECL",2023 Q4,0,Growth & Spending
"We continue to expect the reserve rate to increase a bit as we move through 2024, similar to the modest increases weve seen over the past few quarters",2023 Q4,0,Growth & Spending
"Moving next to revenue on Slide 11, total revenues were up 11 year over year in the fourth quarter and up 15 for the full year on an FX-adjusted basis",2023 Q4,0,Growth & Spending
Our largest revenue line discount revenue grew 5 year over year in Q4 and 9 for the full year as you can see on Slide 12,2023 Q4,0,Growth & Spending
This growth is mostly driven by the spending trends we discussed earlier,2023 Q4,0,Growth & Spending
Net card fee revenues were up 17 year over year in the fourth quarter and 20 for the full year as you can see on Slide 13,2023 Q4,0,Growth & Spending
"As we expected, growth continued to moderate a bit this quarter from the high levels we saw earlier this year, reflecting our cycle of product refreshes",2023 Q4,0,Growth & Spending
"In 2024, we expect to exit the year with some further momentum compared to the current growth, supported by continued product innovation and our focus on premium value propositions",2023 Q4,0,Growth & Spending
We currently have plans to refresh around 40 products globally next year,2023 Q4,0,Growth & Spending
